Date,Text,Processed_Text,Score,Username,Sentiment
2025-03-08 05:51:52,Saya suka sekali karena apk nya bagus😊😊,suka apk nya bagus,5,Rafael Aditya,Positif
2025-03-08 05:50:31,"Bembagian tim nya gak adil,bouthi lawan selalu lebih tinggi",bembagian tim nya gak adilbouthi lawan,3,Amat Siak,Netral
2025-03-08 05:49:54,apaan timnya kagak seimbang mna klo ksih tim kgk ngotak versi cina aja kagak kek gini,tim kagak imbang mna klo ksih tim kgk ngotak versi cina aja kagak kek gin,1,Nensi Surabaya,Negatif
2025-03-08 05:47:22,Ayolah,ayo,4,Mubayyin Ghozali,Positif
2025-03-08 05:45:08,Sangat tidak seru banyak dark sytem nya,seru dark sytem nya,1,Naira Baturaja,Negatif
2025-03-08 05:44:30,Game draksistem di buat turun mulu,game draksistem turun mulu,1,putra7 anime,Negatif
2025-03-08 05:44:27,"sering ga balance, hero gampang di bikin makin gampang, hero susah dibiarkan, cheater yg gajelas, sering ngelag lagi",ga balance hero gampang bikin gampang hero susah biar cheater yg gajelas ngelag,1,Ricko Ardian,Negatif
2025-03-08 05:43:39,Montoon gak jelas aku udh mau naik ke legend 3 malah di turunin ke legen 5 gajelas huhu tolong jgn kasih saya tim yg botttt Tolonggggghh kalo. Kalian jgn main game ini dijamain kalo main kalian bakal dosa soalnya bakal toxic moonton gj emng lebih baik kalian pindah ke gajelas moonton gw dari bintang 21 di kasih tim rank epic legend musuh nya glory ga punya otak emng moonton mending gw pindah ke honor of king udah sepiin aja ni game,montoon gak udh legend 3 turunin legen 5 gajelas huhu jgn kasih tim yg botttt tolonggggghh kalo jgn main game dijamain kalo main dosa toxic moonton gj emng pindah gajelas moonton gw bintang 21 kasih tim rank epic legend musuh nya glory ga otak emng moonton mending gw pindah honor of king udah sepiin aja ni game,1,AhurayazdaAulia Aidan,Negatif
2025-03-08 05:43:34,Ngasih tim dark sistem wae lose streaks nih gimana sih monntoon nggak aduk,ngasih tim dark sistem wae lose streaks nih gimana sih monntoon aduk,1,Aprilina Toyibin,Negatif
2025-03-08 05:43:26,Woy asu gua ketika byone sama komputer sama pembuatnya di pause perbaiki,woy asu gua byone komputer buat pause baik,1,Alfian Destira,Negatif
2025-03-08 05:43:11,Game seru tapi permainan game tidak seimbang jika bermain solo banyak drak sistem bug game seru daveloper jelek mending game sebelah permainan adil tidak ada drak sistem payah sungguh kecewa,game seru main game imbang main solo drak sistem bug game seru daveloper jelek mending game belah main adil drak sistem payah sungguh kecewa,1,Feri Nurcahyono,Negatif
2025-03-08 05:42:18,Bosok,bosok,1,Iqbal Maulana,Negatif
2025-03-08 05:41:20,gem gk ada pintu,gem gk pintu,1,DUGIL 444x,Negatif
2025-03-08 05:41:19,Bagus,bagus,5,Siti Kariah,Positif
2025-03-08 05:41:15,aneh,aneh,1,Tristann Aldii,Negatif
2025-03-08 05:41:11,"Tolong perbaiki sistem, sistem match tidak seimbang, selalu dapat tim yang ngetroll,, sangat buruk..game tersampah,ngreport orang gk pernah bisa,, rusak, kebanyakan event skin,,tapi performa buruk",baik sistem sistem match imbang tim ngetroll burukgame tersampahngreport orang gk rusak banyak event skintapi performa buruk,1,RENI Kartika,Negatif
2025-03-08 05:40:26,"Saya benci game ini, karna pembagian team yg tidak merata. Setiap game di Rank Mytick Ke atas selalu mendapatkan Darksysten seperti kata orang-orang. Entah itu dari Role Marksman Yg gabisa jaga jarak, Jungler Yang selalu Terlambat retribution, Dan Mage Yg selalu main mid gapernah rotasi. Sekalinya Kita mati disalahin, kenapa? Mereka ga liat map bahwa dari tadi kita digank, saya sebagai exp laner memberikan Bintang 1 karna keresahan ini udh berlangsung dari banyak season",benci game karna bagi team yg rata game rank mytick darksysten orangorang role marksman yg gabisa jaga jarak jungler lambat retribution mage yg main mid gapernah rotasi sekali mati disalahin ga liat map digank exp laner bintang 1 karna resah udh season,1,Anak Hilang,Negatif
2025-03-08 05:39:47,Cape main MLBB. GA NAIK RANK DI KASIH TIM NYA ANEH ANEH. MAIN MCG JA LH SERU,cape main mlbb ga rank kasih tim nya aneh aneh main mcg ja lh seru,1,Inung Nugraha,Negatif
2025-03-08 05:38:33,game bagus😁👍,game bagus,5,Deva Pratama,Positif
2025-03-08 05:36:52,"Emang game tlol losetreak terus, tim gw dikasih yang bot, tapi musuh nya jago-jago, gw gakabal main ni game sampah lagi, SEUMUR HIDUP",emang game tlol losetreak tim gw kasih bot musuh nya jagojago gw gakabal main ni game sampah umur hidup,1,Daud Tanduk,Negatif
