Date,Text,Score,Username
2025-03-20 22:43:07,saya tidak menyukai game ini gara² kebanyakan dark system yg main permintaan saya hilang kan dark system (bocil trol),1,Ahmad Faiq
2025-03-20 22:43:06,GAME KEREN DAN MENARIK,5,amsar amsar
2025-03-20 22:41:58,mantap bos ku,5,Haimin Lintang
2025-03-20 22:40:29,Karena sangat seru,5,Letta Letta
2025-03-20 22:40:23,moonton kikir,1,Valents Purnama
2025-03-20 22:38:25,ini sangat seru,5,Bagas Pratama
2025-03-20 22:38:01,game ny jelek harus tunggu lama,1,Maurits Larope
2025-03-20 22:37:17,puasa makin lancar kalau main ni game🤙,5,mm rr
2025-03-20 22:35:45,game tai,1,Ibrahim Lukman
2025-03-20 22:34:43,game nya jelek kalah terus jadi aku kasih bintang 1,1,M. Xherkhan Aldebaran
2025-03-20 22:34:28,"GAME ANEH DAPAT TIM KAYAK TIM TOLOL BARU MAIN EGOIS BUTA MAP KALOK MAU MAIN ML UTAMAKAN MAP, TERUS DAPATIN DIAMOND RAMADHAN AJA SUSAH BENER KAYAK MAU AMBIL SEMBAKO DARI ORANG MISKIN AJA",1,Budi Ramadhan
2025-03-20 22:34:27,game nya seru lebih menantang bisa main di mode lain juga yg menarik tapi tolong moonton tambahin maju mundur di replay supaya player tidak perlu mengulangi lagi replay ketika mendapatkan montage,5,Galang Arzikiutama
2025-03-20 22:34:20,seru bang,5,Salaman Al farizi
2025-03-20 22:32:44,just like this👍,5,arif Taufiq
2025-03-20 22:32:32,woi akun ku kenapa di ban udah gitu alasannya map hack padahal gw gak pernah make kayak gitu,1,Lilis agustina Agustina
2025-03-20 22:32:13,"Plis muntuun ban aja player "" darksistems",5,Rizky Rama
2025-03-20 22:32:06,sebenarnya masih ada banyak masalah di dalam gamenya tapi yang mau saya katakan tolong di perbaiki lagi tentang masalah sinyalmya,1,Irma Suryani
2025-03-20 22:31:14,bagus banget cuma ya kadang ngeleg aja,5,Putri Almeera
2025-03-20 22:31:08,gem aneh bikin stress terlalu banyak drak sistem,1,SAT Lonely
2025-03-20 22:31:07,"seru banget dan kalo baru bisa ,bisa mancing emosi",5,karin
2025-03-20 22:30:17,"Moonton malesin,udah enak² nya epik 3 mau ke 2 malah di turunin langsung ke 5, padahal sebelum nya saya main classic bukan rank,tapi itu memang dari sana ny di turunin, dikira nya gk cape apa naikin rank.",2,Uwong Uwongyong
2025-03-20 22:29:43,"banyak kekurangan, seperti game yang kurang adil bayak player yang pake rw musuh mitik tim gm, terus kenapa saat kita melaporkan player lain pasti di tolak padahal ada kesalahan player yang di buat sedangkan player lain melaporkan kita di Terima ini tidak adil, kadang ada orang yang masuk rumah sakit jiwa gara gara mental karna losetrek",1,Arlan Zaskio
2025-03-20 22:27:12,cape moonton ketemu yg ngetroll²,1,Petrus_ 30
2025-03-20 22:27:01,game nya bagus tapi maaf montoon aku mau imo kamu kasih tim bot tapi gpp event ada hero mingguan ada tapi kamu monton jangan kasih tim bot napa,4,Har Yono
2025-03-20 22:25:50,"Mau lu apasih montoon.Ngasih tim yg seimbang lah,tim entah kek apa yg lu kasih.Mau lu apasih?Mau gw pindah game? lelah gw main kek eek trus dpt tim.gw tau gw gk jago , tpi seenggkny kasih tim yg seimbang kek biar gw have fun dikit walau kalah.Masa gw main 1vs9, udh lah tim yg kek apa yg lu kasih,tim musuh kek apa.Gw capek mon capek,dri jam 10 sampe jam 4 sore gw main. Cuma Untuk Apa?? CUMA UNTK SATU BINTANG MON!! hah",1,Afiyah_ Hidayatullah
2025-03-20 22:25:36,game nya bagus,4,Rendy Rohman
2025-03-20 22:24:21,terlalu banyak sampah dalam aplikasi ini.,1,Muza Kky
2025-03-20 22:21:38,membosankan,1,Aji Pangestu
2025-03-20 22:20:49,sekarang moonton pasfua alite Lang sung ke legens gua makin semangat makasih moonton,5,Samurai SaktiΩ
2025-03-20 22:20:05,"kalo update mbnya jangan gede moonton hp aku dah gak kuat, pengin banget main tapi hp aku ram 2 gak kuat patah²",1,Japar Shodiq
2025-03-20 22:18:41,sangat seruh untuk dimainkan pro Gemem,5,Jumingan Jumingan
2025-03-20 22:18:39,"curang montoon, masak udah spin di event golden spin tapi gak naik poinnya padahal jelas jelas dapat 25 poin.",1,Teuku Heri
2025-03-20 22:17:21,game yang sangat bagus dan ramah sekalih cocok di mainkan untuk anak anak,5,Rayhan Ruslan
2025-03-20 22:16:57,saya suka,4,Rizal Wahyu
2025-03-20 22:16:52,setelah update sinya nya hijau tapi patah patah,1,Regar301
2025-03-20 22:16:04,Gamenya udah bagus geravik juga udah bagus tapi tolong hilangin buknya biar lebih enak 🥲🥲,3,Aji Yusuf
2025-03-20 22:15:56,asu jaringan nya perbaikin lah tod,1,Adit Rehan
2025-03-20 22:14:10,"game in tidak layak di main kn,, bnyk mncri ke untungn pribadi tapi dngn cra menipu dn hal"" lain,, sistem juga ga prna bkerja dngn baik,, se hingga bnyk gndala mohon pihak mnutup pr mainan ini..",5,Wahyudi Novpriyanto
2025-03-20 22:13:06,"menyenangkan dan kadang menyedihkan, tapi cocok untuk mengisi waktu luang 👍",4,Asep Santika
2025-03-20 22:11:10,seru banget,5,Daffa
2025-03-20 22:10:35,"Sekarang manajemen resource hanya bisa di beberapa akun jadi game ini semakin berat, ayo lah moonton berikan kemudahan kepada player lain 😠😠😠",5,Gavin Gravilla
2025-03-20 22:09:24,"semuanya bagus,kecuali sinyal.sinyal nya jumping mulu",5,Bagus Armando
2025-03-20 22:08:03,"game kikir, tidak pantas untuk dimainkan bikin pusing",1,Rian Ari Prasetyo
2025-03-20 22:07:56,Game nya ini udh bagus tapii kenapa aku masih layla padahal harus nya kalea,5,rivi faiz
2025-03-20 22:07:13,permainan paling bagus menurut ku ssaallaammm serepet,5,Partin Tin saja
2025-03-20 22:06:27,game jelek map itu 2 aja burik mati suri,1,Maher Rifalza
2025-03-20 22:04:16,good,5,eepan rendra
2025-03-20 22:03:54,efek heronya tambah bagus sih di ml tapi downloadnya yang terlalu banyak,4,Zainul Musthofa
2025-03-20 22:01:36,di kasih musuh yg kuat terus ama team yg kadang bagus kadang jelek males main soalnya menang kalah kalah menang,1,Ahmadin Kaisar
2025-03-20 22:01:27,"Bagus bangett dehh, dari grafik gameplay, hero poko nya game paling sempurna dari semua game, tapi ada satu permasalahan... kenapa banyak dark sistem nya? kalo ga main pagi pasti lostreak aku. Udah gitu aja makasih ya moonton sudah ciptakan game ini",5,Sri Sutarni
2025-03-20 21:58:59,"helo, TOLONG PERBAIKI MOBILE LEGENDS AGAR SUPPORT DI ANDROID 15.INI DI HP SAYA ANDROID 15 HANYA STUCK DI LOGO TIDAK MENDUKUNG ANDROID 15.SEMOGA KEDEPANNYA BISA DI PERBAIKI DAN MENDUKUNG ANDROID 15.SEGER PERBAIKI!!",1,ac zaka
2025-03-20 21:56:22,skrg maen Mobile legend sering bgt sinyal hilang jdi Hero kemana2. jdi bikin ganggu match.,3,Gitaa Mega
2025-03-20 21:55:23,trima kasih Moonton udah baik sama saya telah berikan event yang ke saya,5,Siti Subaekah
2025-03-20 21:52:09,emblem offline nya ga ada🗿🗿🗿,1,Fahri Lanib
