`Date,Text,Score,Username
2025-04-05 06:08:21,monton tolong perbaiki ini saya tiba tiba restart dari awal dan saya afk tolong perbaiki ya,1,mei Mei
2025-04-05 06:07:45,game nya bagus banget loh temen -temen,5,Adam ganteng
2025-04-05 06:06:45,gacorrr bikinn otak jadi semakin maju dan game ini mendidik supaya menjadi orang yang sabar.,5,Sen QT
2025-04-05 06:06:41,Gamemya seru banget cakep lagi sumpah ff bisa ga kaya game ini,5,Syafiq Sya'bani
2025-04-05 06:06:30,👍,5,M Anshari
2025-04-05 06:06:11,game sangat memuaskan,5,M SOFYAN ALFARIZI
2025-04-05 06:05:28,awal awalnya seru tapi pas naik ke epic /legend serasa seperti game ini pengen di hapus,1,Boim Mr
2025-04-05 06:05:20,sinyal sering lag padahal aslinya bagus sama banyak update tapi matching belum di perbaiki tolong moonton,3,Cahyadi Dinonengrat
2025-04-05 06:04:22,pengen ngilangin stress malah nambah stress main game ini,1,Reza Robbani
2025-04-05 06:04:17,"moonton game rusak mlbb , masa satu server kami pas ngerank semua nya lag,TOLONG DI TANGGAPI SEGERA 🙏🏻 TERIMA KASIH",1,Redmi note 12yoga
2025-04-05 06:02:53,"game bikin stress, gue kira makin di mainin makin bener ternyata makin bikin stres.",1,Nurin Putri maulidia
2025-04-05 06:02:06,"game bagus,konsep bagus,grafik bagus,semuanya bagus,tapi plis kurangin DARK SISTEM ,cape moontoonnnmmmm",5,FreSewy Mew
2025-04-05 06:00:56,game haram,1,Reyhan Prastiya
2025-04-05 06:00:53,woah saya hampir gila gegara darksistem ML tolong tambahkan lagi darksistem nya moonton 💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀,2,Roisah Toni
2025-04-05 06:00:45,game rusak masih banyak bug server tidak ngejalur banyak cheater,2,Asep Sena
2025-04-05 06:00:32,bagus seru cepet donlot ini deh nanti menyesal kalo gak coba gem ini deh,5,akhmad sofingi
2025-04-05 06:00:22,kenapa jln macet sinyal bgus,2,Valen Lubis
2025-04-05 06:00:16,"sangatt baguss, apalagi kalo seson dan event"" yg muncul itu sumpah keren bnget dan grafik nya HD bnget, tapi ada satu keluhan, musuh nya ga sepadan SMA rank kita main di legend ktemu glory imortal, tu ga adil bngett sihh, tapii tetep thebesh siii, semoga ngga pada download yaa karena gw juga ga download ixixxixiixi, satu lagi kesalahan di pemain nya ga asik bnget jirr PDA ga niat main malah download itu dark sistem bngett sihh malaassssssssssssss",2,Paten Z
2025-04-05 05:59:57,JARINGAN GW STABIL TAPI KENAPA DI GAME MALAH NGELAG BANGET????,1,Alfin Hamdi
2025-04-05 05:59:29,"ML game burik! saat saya akan memainkan nya di dalam pertandingan tiba tiba keluar aplikasi sendiri,saat saya mencoba lagi keluar lagi hingga 3 kali, karna kesabaran saya terus di uji akhirnya saya menghapus game tersebut,hanya orang sepicial yg di beri kemenangan,yg beli bnyak skin top up banyak, orang seperti itu yg diberi kesempatan menang,kita mana bakal dikasih, mungkin sekali dua kali,ML game burik,game GJ!!😤😤",1,Adiba Nuril
2025-04-05 05:55:52,game nya sih bagus banget tapi sayang karena fitur afk ketika sedang sholat malah di anggap afk apakah game ini menyuruh kita meninggal kan kewajiban sebagai orang islam? tolong fitur afk nya di perbarui jika masih gk bisa saya tidak akan main game ini lagi karena ketika saya lagi sholat dan di hitung afk saya gk bisa main rank lagi,1,Haikal Zibran
2025-04-05 05:55:38,game ini bagus dan saya suka bermain game ml & dapat tim bagus,5,Sumarni marni
2025-04-05 05:55:24,keren,5,Fanta Zee
2025-04-05 05:55:22,gamenya jelek tolol pangkat gua masa kecil tapi musuhnya susah-susah,1,Ipanipan Ipanipan
2025-04-05 05:55:13,game sangat seru dan obat darah rendah karena habis main game ini darah langsung naik atau tinggi🥲🥲🥲,1,Wildan 2011
2025-04-05 05:55:09,susah sekali mu naik metik,5,Misna Ajha
