Date,Text,Score,Username,Sentiment
2025-03-20 15:50:42,sangat luar biasaa,5,radar ivan1927,Positif
2025-03-20 15:50:24,kenapa tiba tiba ngelek padahal jaringan gua lancar aj tapi langsung jelek aj jaringan ya ini kenapa dah,2,sazfaanrena asqadina,Negatif
2025-03-20 15:49:52,Ml ngebak kagak bisa top up trs jaringan nya negbug muluk makin mls main mending pensi,1,Muh alwi Muh alwi,Negatif
2025-03-20 15:49:24,game paling gak jelas masa ada citer ping merah terus,1,Kahfa Ee,Negatif
2025-03-20 15:48:59,tambah hancur ini ml tiba tiba hilang sinyal trus mau login lama ngak bisa masuk .... kadang saat di game play tiba tiba nge freeze. apakah ni moonton semakin di update semakin buruk .,1,fadly Satryo,Negatif
2025-03-20 15:48:41,game babi banyak dark sistem anjeng bikin pecah win strik babi lah game ngentod,1,Ahmad Putra,Negatif
2025-03-20 15:48:35,kenapa apknya tdak bisa masuk,1,SORA Gaming,Negatif
2025-03-20 15:48:32,tolong kalau musuh nge feed sengaja kasih pelanggaran yang berat biar dia tidak melakukannya lagi!,1,Nabil Putra,Negatif
2025-03-20 15:48:29,"ketemu dark sistem mulu,dari mitik 15 sampai lejend lima,kalau kalian masih ngotot cobain tanggung akibatnya.",1,Nicolas elia Yehuda,Negatif
2025-03-20 15:47:57,tolong knp ini ML nggak bisa login??,1,Satrio Jayantaka,Negatif
2025-03-20 15:47:51,buat hero ngotak dikit lah,5,Akmal Doa,Positif
2025-03-20 15:47:46,"game nya tidak bagus naik rank susah,dapat tim nub terus lawan pun jarang yg imbang",1,PETRUS ASKA,Negatif
2025-03-20 15:47:39,"Kenapa Saat Match Tiba2 Berhenti, Saya Coba Reset Jaringan Tetap Tdak Lanjut. Saya Kluar Game Trus Masuk Lagi, Di Game Loading Stuck Di Situ Trus. Saya MatiKan/HidupKan HP, Tetap Di Game Loading Trus Sampai 9 Kali Saya Coba. Saya Cek Jaringan Bagus. Sudah Saya Perbarui Game TETAP BEGITU.",3,Wandy Battosay,Netral
2025-03-20 15:46:51,game ky taik ngeleg mulu sialan capek bgt .. eneg gw main game ky gini,1,Mia Saje,Negatif
2025-03-20 15:46:49,"game rusak, sering mengalami bug, stak pada saat login, GAME RUSAK",1,Firman Raffa,Negatif
2025-03-20 15:46:32,bagus 200%,5,J7ang ladigo,Positif
2025-03-20 15:46:27,"masih terlalu banyak bug, server bermasalah, dan tolong cheat dan yang pake RW di blacklist karna pas mau masuk game tiba"" muncul terjadi masalah, koneksi terputus padahal jaringan bagus tolong di perbaiki ""MOONTON""",1,Rehan Jir,Negatif
2025-03-20 15:46:10,keren,5,nadhirul muhsinin,Positif
2025-03-20 15:45:29,"tolong perbaiki tim match nya,dapet tim beban kgx jelas main nya di report kgx bisa ,musuh keras keras ,temen sendiri kek aph mh main nya kgx jelas",1,Iqbal Khoirulloh,Negatif
2025-03-20 15:45:03,"menurut ku mending kita pindah game,game ini bnyak dark sistem",1,Ipan Detos177,Negatif
2025-03-20 15:44:59,semakin berat game nya gw sebagai pengguna hp di bawah ram 4 kesulitan karena frame dan patah patah saat main🙏🏻🙏🏻,1,Joki Irawan,Negatif
2025-03-20 15:44:50,"Makin lama Makin Aneh aja, Jaringan stabil kok gak bisa masuk Sih",2,Arhy Arhy,Negatif
2025-03-20 15:44:48,"Game babi ,, sinyal kuat malah gk bisa gerak",2,SinjaiLo Official,Negatif
2025-03-20 15:44:42,"Game ML makin gak bener , banyak player yg udah mhytic turun di GM bahkan ada yg di Master , jadi match nya gak adil gak sesuai kemampuan player yg murni masih pemula",1,Awie jibril,Negatif
2025-03-20 15:44:42,ko pas main menghubungkan terus sih...mana pas reload...tetap gak bisa main...gimana ni...tolong tanggapi...rugi bintang ini...dan pasti di laporkan,1,Khairul La Ode,Negatif
2025-03-20 15:44:03,"Asu gw maen ngapa bug sinyal ngentod, ini gw pake telkom tetep sama moonton mengontl",1,ZGAN FF,Negatif
2025-03-20 15:44:00,kok gw kgk bisa masuk ke game nya,4,faiz cahyono,Positif
2025-03-20 15:43:51,kenapa lagi ini tiba2 tdk bisa main,5,Febrian Wawan,Positif
2025-03-20 15:43:49,Mohon dengan segala hormat sedikit saran saja untuk pihak Moonton..mohon dengan sangat tolong di PANTAU ATAU DI BANED PERMANEN saja akun-akun yg SAAT INI MEMAKAI CHET JARINGAN..ALASAN SAYA pada saat bermain BERLIMA(MABAR)TDK PAKAI WIFI(JARINGAN MASING MASING)pin tinggi kok bisa tiba tiba LENGKET SEMUA BERLIMA/TDK BISA BERGERAK,1,Awwink F,Negatif
2025-03-20 15:43:31,"sudah d update malah tambah lol, mending pindah ke game sebelah, ampas nih moonton...",2,Nmax Biru,Negatif
2025-03-20 15:43:29,"apaan dah lagi main tiba² ngelag system kirain krna belum update, pas udah update sama aja gila ngabisin kuota aja nih game",1,Mardiana Mar,Negatif
2025-03-20 15:43:19,kok ini dalam pertandingan malah disuruh ke costumer service sih? sialnya lagi nge rank 🤛🏻,1,Ranti Ananda,Negatif
2025-03-20 15:43:10,"game gak jls banyak yang pake vpn kasih lag sajaa pemain lain sampai gak bisa loginnn gak jls gamee anehh, tidakk jelasss habis di kasih lag malah turun bintang gakk jlsss gamee ampass",1,Muhammad Danang Pratama,Negatif
2025-03-20 15:42:40,tolong diperbaiki ni game terlalu banyak bug jaringan nya,1,Hasriana Hasriana,Negatif
2025-03-20 15:42:34,lawan nya gak imbang kalau solo najis banget dapat Tim tolol mulu plis lah perbaiki match nya agar dapat Tim seimbang,1,Aldo alamsyah,Negatif
2025-03-20 15:42:27,"kaga usah main, gme nya berat pertandingan yng gk seimbang, gw main dari malam sampe pagi cuma naik 1 bintang.",1,Andika Putra,Negatif
2025-03-20 15:42:10,"Gw dapat bug yg aneh dan ngeganggu, pas di gameplay rank, awal game kayak aman aja, tapi pas lagi mau ngambil turtle pertama malah jaringan gw tiba-tiba jelek, kecepatan jaringan nya sampe² 0.50 sampai 1,0 KB/dtk, gak pernah di atas 50 KB/dtk, pas coba keluar dari game tersebut dan coba pake aplikasi online lainnya, ternyata jaringannya bagus. Eh pas mau login ulang ke game malah gak mau masuk ke in game, Ngestuck di loading awal aja, tapi bukan loading in match. dan jaringannya tetep rendah.",1,M H,Negatif
2025-03-20 15:41:49,"GAME RUSAK WIFI/DATA BAGUS, DI DALAM GAME GA BISA JALAN ATAU MENGHUBUNGKAN. PAS BUKA YOUTUBE DAN APK LAIN AMAN AJA... BINTANG 1 KALAU GA DI PERBAIKI",1,Anggi.niken17 Anggi,Negatif
2025-03-20 15:41:47,tolol tiba² mines GK bisa login pas enak nya main babii,1,Seprianto Mainga',Negatif
2025-03-20 15:41:40,g pernah dapat skin gratis,5,Isda Fitria,Positif
